English,Shakespearean
"She went from me , who loved her with the dignity and devotion that suits a legitimate marriage , to a wretch whose natural gifts were poor compared to mine .","From me , whose love was of that dignity That it went hand in hand even with the vow I made to her in marriage , and to decline Upon a wretch whose natural gifts were poor To those of mine ."
So let me be brief here .,Brief let me be .
"And that's how my brother robbed me of my life , my crown , and my queen all at once .","Thus was I , sleeping , by a brother's hand Of life , of crown , of queen at once dispatched , Cut off even in the blossoms of my sin ,"
"Oh , it's horrible , horrible , so horrible !","Oh , horrible , oh , horrible , most horrible !"
"If you are human , don't stand for it .","If thou hast nature in thee , bear it not ."
Don't let the Danish king's bed be a nest of incest .,Let not the royal bed of Denmark be A couch for luxury and damned incest .
Leave her to God and her own guilt .,Leave her to heaven And to those thorns that in her bosom lodge To prick and sting her .
"Now , good-bye .",Fare thee well at once .
"The glowworm's light is beginning to fade , so morning is near .","The glowworm shows the matin to be near , And 'gins to pale his uneffectual fire ."
"Good-bye , good-bye , good-bye .","Adieu , adieu , adieu ."
Remember me .,Remember me .
"Ah , all you up in heaven !",O all you host of heaven !
And earth !,O earth !
What else ?,What else ?
Shall I include hell as well ?,And shall I couple hell ?
Damn it !,"Oh , fie !"
"Keep beating , my heart , and muscles , don't grow old yet , keep me standing .","Hold , hold , my heart , And you , my sinews , grow not instant old , But bear me stiffly up ."
Remember you !,Remember thee !
"Yes , you poor ghost , as long as I have any power of memory in this distracted head .","Ay , thou poor ghost , whiles memory holds a seat In this distracted globe ."
Remember you !,Remember thee !
"Yes , I'll wipe my mind clean of all trivial facts and memories and preserve only your commandment there .","Yea , from the table of my memory I'll wipe away all trivial fond records , All saws of books , all forms , all pressures past That youth and observation copied there , And thy commandment all alone shall live Within the book and volume of my brain , Unmixed with baser matter ."
"Yes , by God !","Yes , by heaven !"
"Oh , you evil woman !",O most pernicious woman !
"Oh , you villain , villain , you damned , smiling villain !","O villain , villain , smiling , damned villain !"
"Where's my notebook ? , It's a good idea for me to write down that one can smile and smile , and be a villain .","My tables ! , Meet it is I set it down That one may smile , and smile , and be a villain ."
At least it's possible in Denmark .,At least I'm sure it may be so in Denmark .
"He said , ""Remember me."" I swore I would .","Remember me."" I have sworn 't ."
"Sir , sir !","My lord , my lord !"
"Lord Hamlet. , Please let him be all right !","Lord Hamlet , Heaven secure him !"
I'm all right .,So be it .
"Oh-ho-ho , sir !","Illo , ho , ho , my lord !"
"Oh-ho-ho , kid !","Hillo , ho , ho , boy ."
Come here .,"Come , bird , come ."
"So how did it go , sir ?","How is 't , my noble lord ?"
"What happened , sir ?","What news , my lord ?"
It was incredible !,"Oh , wonderful !"
"Oh , please , tell us , sir .","Good my lord , tell it ."
"I swear I won't , sir .","Not I , my lord , by heaven ."
"I won't either , sir .","Nor I , my lord ."
Okay .,"How say you , then ?"
But you promise you can keep a secret ?,But you'll be secret ?
"Yes , I swear .","Ay , by heaven , my lord ."
"Sit down for a while , and we'll tell you again the story you don't want to believe , about what we've seen two nights now .","Sit down a while And let us once again assail your ears , That are so fortified against our story , What we have two nights seen ."
"Well , let's sit down and listen to Barnardo tell us .","Well , sit we down , And let us hear Barnardo speak of this ."
"Last night , when that star to the west of the North Star had traveled across the night sky to that point where it's shining now , at one o'clock , Marcellus and I , Quiet , shut up !","Last night of all , When yond same star that's westward from the pole Had made his course t ' illume that part of heaven Where now it burns , Marcellus and myself , The bell then beating one , Peace , break thee off ."
It's come again .,Look where it comes again !
Looking just like the dead king .,In the same figure like the king that's dead .
Very much so .,Most like .
It's terrifying .,It harrows me with fear and wonder .
It wants us to speak to it .,It would be spoke to .
"Ask it something , Horatio .","Question it , Horatio ."
"By God , I order you to speak .","By heaven , I charge thee , speak ."
"Any villain in Denmark is going to be , well , a villain .",There's ne'er a villain dwelling in all Denmark But he's an arrant knave .
"You don't need a ghost returning from the grave to tell you that , sir .","There needs no ghost , my lord , come from the grave To tell us this ."
"Yes , you're absolutely right .","Why , right , you are in the right ."
"So , without further ado , the best thing to do now is probably just to shake hands and go our separate ways .","And so , without more circumstance at all , I hold it fit that we shake hands and part ."
"You go and take care of your business ( since everybody has some business to take care of , whatever it is worth ) , and I'll go and pray .","You , as your business and desire shall point you , For every man has business and desire , Such as it is , and for my own poor part , Look you , I'll go pray ."
"You're talking in such a crazy way , sir .","These are but wild and whirling words , my lord ."
No offense taken .,"There's no offense , my lord ."
"Ah , but there is , Horatio , there's a lot of offense .","Yes , by Saint Patrick , but there is , Horatio , And much offense too ."
"As for this ghost we just saw , he's a real one , I can tell you that much .","Touching this vision here , It is an honest ghost , that let me tell you ."
"But regarding what happened between us , don't ask , I can't tell you .","For your desire to know what is between us , O'ermaster 't as you may ."
"And now , my friends , my courageous and educated friends , do me one small favor .","And now , good friends , As you are friends , scholars and soldiers , Give me one poor request ."
"What is it , sir ?","What is 't , my lord ?"
Of course we will .,We will .
Don't ever tell anyone what you've seen tonight .,Never make known what you have seen tonight .
"We won't , sir .","My lord , we will not ."
