,input,target
3853,Do you think I was talking about country matters?,Do you think I meant country matters ?
3854,"My lord, what is this?","What is , my lord ?"
3855,There was nothing.,Nothing .
3856,"My lord, you are in good spirits.","You are merry , my lord ."
3857,"Who are you, I?","Who , I ?"
3858,"Ay, my lord.","Ay , my lord ."
3859,"O God, you are the only one who makes jig-makers.","O God , your only jig-maker ."
3860,What should a man do when he's happy?,What should a man do but be merry ?
3861,"My father died within these two hours, and my mother looked so happy.","For , look you , how cheerfully my mother looks , and my father died within these two hours ."
3862,"My lord, 'tis twice two months, my lord'.","Nay , 'tis twice two months , my lord ."
3863,Is it so long?,So long ?
3864,"For I'll have a suit of sables, let the devil wear black.","Nay then , let the devil wear black , for I'll have a suit of sables ."
3865,There's hope that a great man's memory will last a long time.,Then there's hope a great man's memory may outlive his life half a year .
3866,"He has to build churches or else he will suffer not thinking on, with the hobby- horse.","But , by 'r Lady , he must build churches then , or else shall he suffer not thinking on , with the hobby-horse , whose epitaph is ""For , oh , for , oh , the hobby-horse is forgot."" What means this , my lord ?"
3867,"Marry, this is happening.","Marry , this is miching"
3868,The argument of the play is imported into the show.,Belike this show imports the argument of the play .
3869,This fellow will tell us by the way.,We shall know by this fellow .
3870,The players don't have the ability to keep counsel.,The players can not keep counsel .
3871,They will tell everything.,They'll tell all .
3872,Will he let us know what this show meant?,Will he tell us what this show meant ?
3873,You will show him any show that you have.,"Ay , or any show that you will show him ."
3874,"He won't shame to tell you what it means, be not ashamed to show it.","Be not you ashamed to show , he'll not shame to tell you what it means ."
3875,"You are naught, you are naught.","You are naught , you are naught ."
3876,I'll make a mark on the play.,I'll mark the play .
3877,Is this a preview of a ring or not?,Is this a prologue or the posy of a ring ?
3878,"My lord, it is brief.","Tis brief , my lord ."
3879,As woman's affection.,As woman's love .
3880,What do you think about this play?,"Madam , how like you this play ?"
3881,I think that the lady protests too much.,"The lady protests too much , methinks ."
3882,But she will keep her word.,"Oh , but she'll keep her word ."
3883,Is there anything wrong in 't'.,Is there no offense in 't ?
3884,I have no offense in the world.,No offense i ' th ' world .
3885,What is the name of the play?,What do you call the play ?
3886,"On the crowing of the cock, it faded.",It faded on the crowing of the cock .
3887,Do you agree that we should give him it as needful in our loves and fitting our duty?,"Do you consent we shall acquaint him with it , As needful in our loves , fitting our duty ?"
3888,"If I could see the puppets, I could see that you and your love are compatible.","I could interpret between you and your love , if I could see the puppets dallying ."
3889,""" The raven doth want revenge, "" said the croaking raven.","Come , ""The croaking raven doth bellow for revenge , """
3890,The story is written in Italian.,"The story is extant , and writ in choice Italian ."
3891,You will see how Gonzago's wife falls in love with the murderer.,You shall see anon how the murderer gets the love of Gonzago's wife .
3892,The king is going up.,The king rises .
3893,What happened when you frighted with false fire?,"What , frighted with false fire ?"
3894,How do you fare my lord?,How fares my lord ?
3895,"Give me some light, away!","Give me some light , away !"
3896,"There are lights, lights, lights!","Lights , lights , lights !"
3897,I mean a whole one.,"A whole one , I ."
3898,Did the person see something?,Didst perceive ?
3899,"My lord, very well.","Very well , my lord ."
3900,Upon hearing about the poisoning?,Upon the talk of the poisoning ?
3901,I did a good job of remembering him.,I did very well note him .
3902,"Ah ha, that's right!",Ah ha !
3903,Come and listen to some music!,"Come , some music !"
3904,"Come, the recorders, come!","Come , the recorders !"
3905,Come and listen to some music!,"Come , some music !"
3906,"vouchsafe me a word with you, good my lord.","Good my lord , vouchsafe me a word with you ."
3907,"Sir, there is a lot of history.","Sir , a whole history ."
3908,"What of the king, sir, Ay, sir, what of him?","The king , sir , Ay , sir , what of him ?"
3909,"In his retirement, he is very angry.",Is in his retirement marvelous distempered .
3910,"I am not aggressive, sir.","I am tame , sir ."
3911,You should pronounce.,Pronounce .
3912,I was sent to you by the queen of your mother's spirit.,"The queen your mother , in most great affliction of spirit , hath sent me to you ."
3913,"You are welcome, that's right.",You are welcome .
3914,"This courtesy is not of the right breed, good lord.","Nay , good my lord , this courtesy is not of the right breed ."
3915,I will do your mother's commandments if it pleases you to make me a wholesome answer.,"If it shall please you to make me a wholesome answer , I will do your mother's commandment ."
3916,Your pardon and my return will be the end of my business if you don't.,"If not , your pardon and my return shall be the end of my business ."
3917,"Sir, I can not.","Sir , I can not ."
3918,"My lord, what are you talking about?","What , my lord ?"
3919,You should make you a wholesome answer.,Make you a wholesome answer .
3920,My wit is not good.,My wit's diseased .
3921,To the matter is no more than that.,Therefore no more but to the matter .
3922,A wonderful son that can ruin a mother's day.,O wonderful son that can so 'stonish a mother !
3923,Is there a sequel at the heels of this mother's admiration?,But is there no sequel at the heels of this mother's admiration ?
3924,There is an Impart.,Impart .
3925,She would like to speak with you in her closet at night.,She desires to speak with you in her closet ere you go to bed .
3926,"Were she ten times our mother, we would obey?","We shall obey , were she ten times our mother ."
3927,Is there any more trade you have with us?,Have you any further trade with us ?
3928,"You used to love me, my lord.","My lord , you once did love me ."
3929,"Do still, by these pickers and stealers.","And do still , by these pickers and stealers ."
3930,"Good lord, what is the cause of your temper?","Good my lord , what is your cause of distemper ?"
3931,"Sir, I don't have advancement.","Sir , I lack advancement ."
3932,"How can that be, when you have the voice of the king himself for your succession?","How can that be , when you have the voice of the king himself for your succession in Denmark ?"
3933,I don't comprehend that.,I do not well understand that .
3934,Will you play with this pipe?,Will you play upon this pipe ?
3935,"My lord, I can not.","My lord , I can not ."
3936,I pray that you are doing well.,I pray you .
3937,"I can not, believe me.","Believe me , I can not ."
